date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:30	9637/9637	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2012:24:32%20GMT	https://ozod.hasnaanajmi.co/intro.html	C:/My%20Web%20Sites/ozod/ozod.hasnaanajmi.co/intro.html	(from )
13:57:31	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20May%202024%2008:27:36%20GMT	https://ozod.hasnaanajmi.co/robots.txt		(from )
13:57:31	2868/2868	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202023%2017:59:40%20GMT	https://ozod.hasnaanajmi.co/images/icon.png	C:/My%20Web%20Sites/ozod/ozod.hasnaanajmi.co/images/icon.png	(from https://ozod.hasnaanajmi.co/intro.html)
13:57:31	31000/31000	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2017:59:40%20GMT	https://ozod.hasnaanajmi.co/css/font-awesome.min.css	C:/My%20Web%20Sites/ozod/ozod.hasnaanajmi.co/css/font-awesome.min.css	(from https://ozod.hasnaanajmi.co/intro.html)
13:57:32	144877/144877	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2017:59:40%20GMT	https://ozod.hasnaanajmi.co/css/bootstrap.min.css	C:/My%20Web%20Sites/ozod/ozod.hasnaanajmi.co/css/bootstrap.min.css	(from https://ozod.hasnaanajmi.co/intro.html)
13:57:33	22578/22578	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2012:25:17%20GMT	https://ozod.hasnaanajmi.co/index.html	C:/My%20Web%20Sites/ozod/ozod.hasnaanajmi.co/index.html	(from https://ozod.hasnaanajmi.co/intro.html)
13:57:35	22774/22774	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2012:24:53%20GMT	https://ozod.hasnaanajmi.co/index2.html	C:/My%20Web%20Sites/ozod/ozod.hasnaanajmi.co/index2.html	(from https://ozod.hasnaanajmi.co/intro.html)
13:57:35	115250/115250	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202023%2017:59:40%20GMT	https://ozod.hasnaanajmi.co/images/intro/1.png	C:/My%20Web%20Sites/ozod/ozod.hasnaanajmi.co/images/intro/1.png	(from https://ozod.hasnaanajmi.co/intro.html)
13:57:36	86659/86659	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2017:59:40%20GMT	https://ozod.hasnaanajmi.co/js/jquery-3.2.1.min.js	C:/My%20Web%20Sites/ozod/ozod.hasnaanajmi.co/js/jquery-3.2.1.min.js	(from https://ozod.hasnaanajmi.co/intro.html)
13:57:37	19188/19188	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2017:59:40%20GMT	https://ozod.hasnaanajmi.co/js/popper.min.js	C:/My%20Web%20Sites/ozod/ozod.hasnaanajmi.co/js/popper.min.js	(from https://ozod.hasnaanajmi.co/intro.html)
13:57:37	98400/98400	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202023%2017:59:40%20GMT	https://ozod.hasnaanajmi.co/images/intro/2.png	C:/My%20Web%20Sites/ozod/ozod.hasnaanajmi.co/images/intro/2.png	(from https://ozod.hasnaanajmi.co/intro.html)
13:57:37	48944/48944	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2017:59:40%20GMT	https://ozod.hasnaanajmi.co/js/bootstrap.min.js	C:/My%20Web%20Sites/ozod/ozod.hasnaanajmi.co/js/bootstrap.min.js	(from https://ozod.hasnaanajmi.co/intro.html)
13:57:37	3428/3428	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2017:59:40%20GMT	https://ozod.hasnaanajmi.co/js/custom.js	C:/My%20Web%20Sites/ozod/ozod.hasnaanajmi.co/js/custom.js	(from https://ozod.hasnaanajmi.co/intro.html)
13:57:38	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2024%20Apr%202023%2017:59:40%20GMT	https://ozod.hasnaanajmi.co/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/ozod/ozod.hasnaanajmi.co/fonts/fontawesome-webfont3e6e.eot	(from https://ozod.hasnaanajmi.co/css/font-awesome.min.css)
13:57:38	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2024%20Apr%202023%2017:59:40%20GMT	https://ozod.hasnaanajmi.co/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/ozod/ozod.hasnaanajmi.co/fonts/fontawesome-webfontd41d.eot	(from https://ozod.hasnaanajmi.co/css/font-awesome.min.css)
13:57:39	77160/77160	---M--	200	added ('OK')	font/woff2	date:Mon,%2024%20Apr%202023%2017:59:40%20GMT	https://ozod.hasnaanajmi.co/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/ozod/ozod.hasnaanajmi.co/fonts/fontawesome-webfont3e6e.woff2	(from https://ozod.hasnaanajmi.co/css/font-awesome.min.css)
13:57:39	98024/98024	---M--	200	added ('OK')	font/woff	date:Mon,%2024%20Apr%202023%2017:59:40%20GMT	https://ozod.hasnaanajmi.co/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/ozod/ozod.hasnaanajmi.co/fonts/fontawesome-webfont3e6e.woff	(from https://ozod.hasnaanajmi.co/css/font-awesome.min.css)
13:57:39	165548/165548	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2024%20Apr%202023%2017:59:40%20GMT	https://ozod.hasnaanajmi.co/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/ozod/ozod.hasnaanajmi.co/fonts/fontawesome-webfont3e6e.ttf	(from https://ozod.hasnaanajmi.co/css/font-awesome.min.css)
